epoch,ck+
epoch,ck+
epoch,ck+
epoch,ck+
epoch,ck+
epoch,ck+
1,39.07767105102539
2,64.5631103515625
3,72.73462677001953
4,77.02265930175781
5,82.7669906616211
6,75.48544311523438
7,77.26537322998047
8,80.33980560302734
9,79.20712280273438
10,82.847900390625
0,10
0.0,82.847900390625
epoch,ck+
1,62.29773712158203
2,63.75404739379883
3,69.74110412597656
4,71.03559875488281
5,74.59547424316406
6,80.01618194580078
7,76.61812591552734
8,78.0744400024414
9,73.05825805664062
10,80.987060546875
0,10
0.0,80.987060546875
epoch,ck+
1,69.90291595458984
2,76.61812591552734
3,77.26537322998047
4,77.1844711303711
5,81.22977447509766
6,80.50161743164062
7,81.7152099609375
8,78.0744400024414
9,79.28802490234375
10,80.33980560302734
0,7
0.0,81.7152099609375
